I,II,III,aVR,aVL,aVF,V1
0.009934283,-0.008475194,-0.013569894,-0.0028684642,0.0069657248,0.0034174705,-0.03961144
-0.0023882203,-0.008691217,-0.0057329237,-0.00027605242,0.0060435375,0.00062217424,-0.020722648
0.013707897,-0.03515874,-0.011193495,0.0020400234,-0.017976271,-0.007868975,-0.010986442
0.031591773,-0.0054706284,0.0033395365,0.020068405,0.01272286,0.0010806422,0.004124554
-0.0031748586,0.01616479,0.02545178,-0.013436137,-0.028293444,0.011325042,0.021991456
-0.0027975182,-0.023599422,-0.0135356225,-0.015041719,-0.011198466,-0.0006380216,0.01576794
0.033846464,0.023231858,0.022278616,0.0269946,-0.03771955,0.010657559,-0.02132429
0.017987853,0.0123946555,-0.012994282,-0.0066137356,0.03381169,-0.014094217,-0.004795086
-0.006373413,-0.011668592,-0.013936469,-0.022244632,-0.0016149151,-0.009061798,0.0045435866
0.0142441485,0.0005623547,0.01976484,-0.0063096513,0.046730626,-0.0112934625,-0.001851195
-0.005498582,0.035736207,0.022208499,-0.0028312828,0.01982877,-0.0075328555,-0.0016161327
-0.0051680524,0.0188175,0.021174742,0.0352458,0.013108507,0.029890163,-0.030308323
0.0093625,0.0046989275,-0.021792693,0.02301978,-0.0072012995,0.01904403,-0.018531429
-0.033365704,0.00014623575,-0.0044191177,0.027850315,-0.016027099,-0.01663856,-0.0031588948
-0.029221877,0.0068086614,0.021736251,0.021675954,0.015735911,0.014026446,-0.056588035
-0.0055927676,-0.004582288,0.00648382,0.024577856,0.0042227027,-0.0021586635,0.01846587
-0.014227217,-0.036065586,-0.015444452,-0.007732237,-0.020756,-0.007618286,-0.021424176
0.0126906885,0.0472493,0.015572101,0.002433699,-0.023931427,-0.023309046,0.020142505
-0.011378494,0.009888488,-0.0075141573,-0.013016319,-0.012392087,0.02622036,0.018760309
-0.021087937,0.015121083,0.043048635,0.0029483764,0.04357748,-0.020119125,-0.0037157238
0.03684716,0.0063760295,0.038431015,0.021216284,0.051799744,0.006494921,0.02754515
0.0033945988,-0.006792211,0.019992074,0.010601791,0.0120099075,-0.0110161,0.022774072
0.009636517,0.0045674634,0.03550609,0.03451557,0.0112648085,0.023802832,0.0021067234
-0.0198333,-0.023326233,0.00995749,-0.014166653,0.0019352555,0.0019746264,0.0002264706
-0.0018504047,0.05457898,0.024346,0.019042017,-0.009652457,0.0063479966,0.030981906
0.01163116,-0.015277532,0.038967114,-0.015553348,0.03691629,0.007398023,0.014052985
-0.013231839,-0.010851293,0.014698006,0.011671563,0.04725956,0.015839439,0.030681977
0.017677179,0.0013580343,0.005059475,0.024969887,-0.007705163,0.010423314,-0.037616264
-0.0014745145,0.036299773,-0.02355418,0.006248208,0.008881492,0.009672795,0.012507961
0.0050792755,0.01120333,0.00925048,0.021935683,0.0019158245,0.00054511096,-0.020635031
-0.0007462458,-0.013434829,0.02775635,-0.00790676,0.0028831048,-0.020206701,0.0107721165
0.048708025,0.03674923,0.03057513,-0.021611338,0.035380628,-0.010708557,0.025938867
0.011766927,0.026656885,0.022124173,0.023177464,-0.014202359,0.026406467,0.046819676
-0.008743108,0.023179809,0.0015851281,0.047291316,0.021740504,0.006294721,-0.0063522244
0.02923607,0.027099857,-0.02675126,-0.0071357265,0.027349934,-0.0004950234,0.002271076
-0.011257821,0.06104629,0.0032547505,0.037602935,0.010316029,-0.01495551,0.011248394
0.017710017,0.057234645,0.007445848,0.014401214,0.0313941,-0.020860197,-0.0059578763
-0.025287157,0.00017193954,0.007647667,-0.012807584,0.016859284,-0.0001578912,0.03347744
-0.012284172,0.04675725,0.026650677,-0.008350557,0.03862215,0.032040607,0.012877659
0.018589875,0.022316013,0.05436618,0.014968345,-0.015791457,0.0035112456,0.01709179
0.029794874,0.025007458,0.017496126,0.0069362954,0.008050036,0.023035252,0.027429003
0.018825585,-0.018447198,0.011063583,-0.01086004,0.013961957,0.0033370226,0.013963989
0.013457713,0.0123629635,0.010586242,-0.018110108,-0.03767347,0.028548012,0.35524336
0.01012084,-0.00011355846,0.018630609,-0.0007914732,-0.005576141,0.36204973,0.37726495
-0.013055521,0.033076096,-5.0956456e-05,0.0203911,0.00024293366,0.3512147,0.36820388
0.0024898052,0.0383083,0.019290661,0.016758675,0.39167428,0.37712136,0.39415795
0.008045444,-0.024231507,0.026274467,0.3590607,0.3650705,0.4257068,0.41847435
0.03877195,0.017188808,0.021823226,0.3794718,0.36923066,0.43122715,0.3814375
0.024872905,0.04043777,0.38031572,0.40247992,0.40821266,0.41143703,0.38055325
-0.016889485,0.0146377385,0.38594648,0.39570227,0.36565945,0.4051144,0.41830924
0.025223514,0.38693205,0.34784412,0.3914273,0.36262965,0.41995323,0.40794975
0.01141044,0.3852543,0.40193245,0.41834038,0.40274,0.4261003,0.42977807
0.35910797,0.3908555,0.38158864,0.38639754,0.38681373,0.4247203,0.44124267
0.39054766,0.38429704,0.3788055,0.40680033,0.39324734,0.43995652,0.3975044
0.40452,0.3710012,0.38424462,0.41286814,0.438458,0.4407849,0.4595689
0.40802848,0.3784188,0.42051253,0.3976275,0.449931,0.43564504,0.5043462
0.3780372,0.4204589,0.41279346,0.41932982,0.45348316,0.42326325,0.5347978
0.39397067,0.41198805,0.38890275,0.39147142,0.46504647,0.51999754,0.52937925
0.41202703,0.41405904,0.43729267,0.47633868,0.47272784,0.5524412,0.5386643
0.43007195,0.41348404,0.4040208,0.42435113,0.48712268,0.5429024,0.5905311
0.40604812,0.4208916,0.44058046,0.47970447,0.54572535,0.5564447,0.56979555
0.41689923,0.45286697,0.44741386,0.5299861,0.53298795,0.5515103,0.5880696
0.40337572,0.43005592,0.46510288,0.5473359,0.5353331,0.54253244,0.5793655
0.40637642,0.41466913,0.56341016,0.5329288,0.5680278,0.56532574,0.5949208
0.45125633,0.46098956,0.5071073,0.55337983,0.5285861,0.5558413,0.59684294
0.466742,0.44654056,0.5398391,0.5685959,0.53437495,0.5605729,0.5993583
0.4426936,0.53240746,0.54171133,0.5750886,0.5881046,0.612234,0.62198323
0.46862525,0.570256,0.56212264,0.5833496,0.59105396,0.5853546,0.60833627
0.5353739,0.5438911,0.5638292,0.5663873,0.58972543,0.58437246,0.6560686
0.5214137,0.5561554,0.55839,0.56988835,0.5749108,0.6368162,0.6345275
0.5476028,0.5327328,0.5624037,0.55319387,0.61272806,0.62581897,0.5972673
0.577077,0.55772614,0.5545275,0.6009623,0.6166225,0.6069572,0.621057
0.55142254,0.57998574,0.60210127,0.6174032,0.60970867,0.6276126,0.6368463
0.5891348,0.54222953,0.5968669,0.6331688,0.58926195,0.6188195,0.6338971
0.5110289,0.5827605,0.611227,0.61188066,0.6089275,0.61395854,0.65063137
0.5853213,0.5860296,0.59170115,0.5952087,0.63863015,0.6413831,0.656504
0.5759603,0.589972,0.58965725,0.5811894,0.652674,0.62927943,0.61682343
0.5734506,0.61488307,0.5859588,0.6403883,0.62367064,0.6409494,0.672869
0.5863517,0.6056823,0.61927956,0.5878825,0.62909245,0.6633374,0.64032316
0.5497241,0.6332675,0.5957254,0.6210774,0.6345489,0.6644008,0.64113224
0.58991313,0.5884046,0.6577574,0.627312,0.64678854,0.63823575,0.6436365
0.6061511,0.615422,0.5987359,0.634144,0.6329875,0.66181314,0.6741363
0.63313913,0.6186757,0.63430744,0.6398093,0.58985263,0.6321833,0.6547456
0.59765744,0.59973896,0.6639565,0.6452407,0.6745276,0.6661888,0.6487139
0.59616286,0.64424145,0.64822537,0.5973785,0.68930954,0.662382,0.6551789
0.60647476,0.6754535,0.6432192,0.64900947,0.6437182,0.6690142,0.62921214
0.63886166,0.6323164,0.62363535,0.6069773,0.6369898,0.6572985,0.64948493
0.6310379,0.6463047,0.61850536,0.6688867,0.65774304,0.7065315,0.6425328
0.6176418,0.6412929,0.66451305,0.6456339,0.6587022,0.6482162,0.66271114
0.6421405,0.62857884,0.6820413,0.6159095,0.68413436,0.68685436,0.68192214
0.63731813,0.60953224,0.6457819,0.6448993,0.6668926,0.6477593,0.6800331
0.6581135,0.6347772,0.6342519,0.65173376,0.6513268,0.6792387,0.6941815
0.6279254,0.6238464,0.61017704,0.68871945,0.6419939,0.6812146,0.6895906
0.63850033,0.68840754,0.64186496,0.67042625,0.6866607,0.67113364,0.6579775
0.6401591,0.6545097,0.6611791,0.67478794,0.6821271,0.6602514,0.6683434
0.6215386,0.6522259,0.6972383,0.6927463,0.6919397,0.67289275,0.66649777
0.65939844,0.67910516,0.6803534,0.6682387,0.651759,0.67511106,0.6230896
0.6612231,0.6409099,0.6744582,0.6861018,0.70808846,0.7050592,0.6405026
0.65848863,0.64987504,0.6616505,0.6853683,0.63644546,0.6510923,0.660015
0.65593696,0.66828537,0.65911627,0.6464513,0.6853139,0.6564889,0.65819234
0.6344211,0.6890548,0.69984937,0.7019464,0.63253564,0.67215985,0.66996354
0.65627253,0.67991215,0.67653805,0.6442032,0.6543293,0.65999234,0.6668348
0.6596448,0.6760873,0.6310879,0.69089556,0.70056856,0.66155183,0.6197719
0.6521236,0.6737686,0.6601156,0.6419624,0.6849913,0.68319046,0.6629614
0.6664695,0.68113923,0.6566982,0.6839011,0.65625983,0.60340106,0.65334594
0.67915815,0.6779386,0.66304326,0.7085041,0.65543246,0.6456634,0.6592085
0.7100383,0.65391976,0.6851625,0.66621304,0.6662518,0.6203848,0.6648284
